poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
78.0,"Větřkovice                 (Opava, MSK)","Má zastupitelstvo obce Větřkovice podnikat další kroky, směřující k výstavbě větrných elektráren v katastrálním území Větřkovice u Vítkova a v katastrálním území Nové Vrbno?",2009-09-26 00:00:00,623,0.657,ANO,"121     (29,6 %)","272     (66,5 %)",ANO       (156),
79.0,"Věrovany (Olomouc, OLK)","Souhlasíte s tím, aby zastupitelstvo obce Věrovany podporovalo vybudování pískovny na katastrálním území obce Věrovany včetně změny územního plánu, která by umožnila těžbu písku na tomto území?",2009-10-10 00:00:00,1123,0.613,ANO,"45          (6,5 %)","631     (91,7 %)",ANO       (281),
80.0,"Okrouhlá Radouň (Jindřichův Hradec, JHČ)","1. Souhlasíte s tím, aby odpovědné obecní orgány obce Okrouhlá Radouň při výkonu samostatné působnosti obce využily všech zákonných prostředků k zabránění stavby úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů?                            2. Souhlasíte s tím, aby odpovědné obecní orgány při výkonu samostatné působnosti obce využily všech zákonných prostředků k zabránění stavby podzemního zásobníku plynů?",2009-10-10 00:00:00,148,0.595,ANO,"ad 1) 82     ad 2) 80 (93,2 %; 90,9 %)","ad 1) 5    ad 2) 7  (5,7 %; 2,8 %)",ANO         (37),
81.0,"Veselí nad Lužnicí         (Tábor, JHČ)",Souhlasíte s vyhlášením záměru na prodej plochy u kulturního domu ve Veselí nad Lužnicí k výstavbě obchodního centra za účelem získání finančních prostředků na rekonstrukci kulturního domu?,2009-11-07 00:00:00,5378,0.3327,NE,"513     (28,7 %)","1 261    (70,5 %)",NE           (1345),
82.0,"Úhonice            (Praha-západ, STČ)",Souhlasíte s umístěním větrných elektráren v katastrálním území obce Úhonice?,2009-11-21 00:00:00,777,0.367,ANO,97           (34 %),"174     (61,1 %)",NE           (194),
83.0,"Vamberk                   (Rychnov nad Kněžnou, HKK",Souhlasíte s prodejem chaty Vyhlídka?,20.11.200929,3823,0.275,NE,"471     (44,8  %)","551     (52,4 %)",NE           (956),
84.0,"Roztoky                        (Praha-západ, STČ)","Souhlasíte s tím, aby Zastupitelstvo města Roztoky v rámci své pravomoci a působnosti pro celé území města Roztoky schválilo pouze takový návrh územního plánu, regulačního plánu nebo územní studie, v němž nová výstavba pro bydlení v plochách čistě obytných a obytných mimo současné zastavěné území definované Územním plánem města Roztoky ze dne 7. 9. 1995 ve znění platných změn bude povolena pouze rodinnými domy?",2009-11-26 00:00:00,5711,0.256,NE,"1 323   (90,5 %)","130       (8,9 %)",NE          (1428),
85.0,"Běloky                  (Kladno, STČ)","1. Souhlasíte s tím, aby v připravovaném územním plánu obce Běloky bylo uvažováno s průmyslovou zástavbou?                                                                        2. Souhlasíte s tím, aby v připravovaném územním plánu obce Běloky byla povolena další bytová výstvba nad 10% současných popisných čísel obce Běloky?",2009-11-28 00:00:00,114,0.816,ANO,"ad 1)    5         ad 2)  30 (5,4 %; 32,3 %)","ad 1)  85       ad 2) 60 (91,4 %; 64,5 %)",ad 1) ANO ad 2) ANO (29),
86.0,"Vranovská Ves (Znojmo, JHM)","Souhlasíte s vybudováním radarové základny Spojených států amerických v ČR, umístěné na území Vojenského újezdu Brdy? NEKONÁNO PRO ZRUŠENÍ VOLEB DO PSP ČR",9. - 10. 10 2009,neoznámeno,,,,,,
87.0,"Siřejovice (Litoměřice, ULK)",Souhlasíte s umístěním logistického centra v katastru obce Siřejovice?,2010-01-30 00:00:00,233,0.6266,ANO,"15       (10,3 %)",127        (87 %),ANO         (58),
88.0,"Záboří                         (České Budějovice, JHČ)",Souhlasíte s výstavbou fotovoltaické elektrárny v obci Záboří?,2010-01-30 00:00:00,267,0.581,ANO,"74       (47,7 %)","78       (50,3 %)",ANO         (67),
89.0,"Chvatěruby              (Mělník, STČ)","1. Souhlasíte s tím, aby obec Chvatěruby činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště.                                                                                             2. Souhlasíte s rozšířením letiště Vodochody na mezinárodní letiště?",2010-02-12 00:00:00,376,0.577,ANO,"ad 1) 207     ad 2) 6 (95,4 %; 2,8 %)","ad 1)    8         ad 2) 209 (3,7 %; 96,3 %)",ad 1) ANO ad 2) ANO (94),
90.0,"Zlončice               (Mělník, STČ)","1. Souhlasíte s tím, aby obec Zlončice činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště.                                                                 2. Souhlasíte s rozšířením letiště Vodochody na mezinárodní letiště?",2010-02-12 00:00:00,329,0.641,ANO,"ad 1) 208     ad 2) 5 (98,6 %; 2,4 %)","ad 1) 2         ad 2) 200 (1 %;    94,8 %)",ad 1) ANO ad 2) ANO (83),
91.0,"Strážná                          (Ústí nad Orlicí, PAK)",Souhlasíte s výstavbou větrných elektráren na k. ú. Strážná?,2010-03-06 00:00:00,84,0.619,ANO,"2            (3,8 %)","50       (96,2 %)",ANO         (21),
92.0,"Panenské Břežany                    (Praha-východ, STČ)","1. Souhlasíte s tím, aby obec Panenské Břežany činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                                            2. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?",2010-03-19 00:00:00,449,0.715,ANO,"ad 1) 302    ad 2) 14 (94,1 %; 4,4 %)   ","ad 1) 18     ad 2) 305 (5,6 %; 95,1 %)",ad 1) ANO ad 2) ANO (113),
93.0,"Hronov                   (Náchod, HKK)",Souhlasíte s osamostatněním místních částí Velký Dřevíč a Rokytník od města Hronova a vznikem společné samostatné obce?,2010-03-20 00:00:00,870,0.759,ANO,396        (60 %),257        (39 %),NEPŘIJATO3 (436),
94.0,"Bašť                           (Praha-východ, STČ)","1. Souhlasíte s plánovanou výstavbou veřejného mezinárodního letiště ve Vodochodech?                                                                       2. Má obec Bašť využít všech dostupných prostředků, aby zabránila realizaci veřejného letiště ve Vodochodech?",2010-03-24 00:00:00,910,0.593,ANO,"Ad 1) 15      Ad 2) 509 (2,8 %; 94,3 %)","Ad 1) 518   Ad 2) 28 (96 %;    5,2 %)",Ad 1) ANO Ad 2) ANO (228),
95.0,"Máslovice                (Praha-východ, STČ)","1. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?                                                                              2. Souhlasíte s tím, aby zastupitelstvo obce Máslovice činilo všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?",2010-03-26 00:00:00,249,0.594,ANO,"Ad 1) 13      Ad 2) 126 (8,8 %; 85,1 %)","Ad 1) 130      Ad 2) 19 (87,8 %; 12,8 %)",Ad 1) ANO Ad 2) ANO (63),
96.0,"Dolany         (Mělník, STČ)","1. Souhlasíte s tím, aby obec Dolany činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                2. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?",2010-04-16 00:00:00,624,0.729,ANO,"Ad 1) 435      Ad 2) 4 (95,6 %; 0,9 %)","Ad 1) 5         Ad 2) 435 (1,1 %; 95,6 %)",Ad 1) ANO Ad 2) ANO (156),
97.0,"Nový Jičín               (Nový Jičín, MSK)","Souhlasíte s tím, aby se část města - Libhošť oddělením od města Nový Jičín stala samostatnou obcí?",2010-04-11 00:00:00,1289,0.694,ANO,"766     (85,6 %)",114        (13 %),ANO       (645),
98.0,"Odolena Voda (Praha-východ, STČ)","1. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?                                                                              2. Souhlasíte s tím, aby město Odolena Voda činilo všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?",2010-04-17 00:00:00,4250,0.26,NE,"Ad 1) 409      Ad 2) 675 (36,9 %;  61 %)","Ad 1) 666      Ad 2) 346 (60,2 %; 31,3 %)",NE         (1063),
99.0,"Postřižín              (Mělník, STČ)","1. Souhlasíte s tím, aby obec Postřižín činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                 2. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?",2010-04-23 00:00:00,492,0.504,ANO,"Ad 1) 221      Ad 2) 27 (89,1 %; 10,9 %)","Ad 1) 23      Ad 2) 219 (9,8 %; 88,3 %)",Ad 1) ANO Ad 2) ANO (123),
100.0,"Cotkytle                        (Ústí nad Orlicí, PAK)","1. Souhlasíte s výstavbou větrných elektráren na katastrálním území Cotkytle, Herbortice, Mezilesí u Lanškrouna?",2010-05-22 00:00:00,327,0.599,ANO,"40       (20,4 %)",149        (76 %),ANO         (81),
101.0,"Myslkovice             (Tábor, JHČ)",1. Souhlasíte s výstavbnou fotovoltraické elektrárny  v Myslkovicích?,2010-05-22 00:00:00,314,0.618,ANO,"69       (35,6 %)","121     (62,4 %)",ANO         (79),
102.0,"Měšice                    (Praha-východ, STČ)","1. Souhlasíte s tím, aby zastupitelstvo obce Měšice činilo všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                 2. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?",28. - 29. 5. 2010,1170,0.66,ANO,"Ad 1) 731    Ad 2) 44 (94,5 %; 5,7 %)","Ad 1) 39     Ad 2) 724 (5,1 %; 93,8 %)",Ad 1) ANO Ad 2) ANO (293),
103.0,"Mratín                   (Praha-východ, STČ)","1. Souhlasíte s tím, aby obec Mratín činila všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                2. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?",28. - 29. 5. 2010,793,0.641,ANO,"Ad 1) 475    Ad 2) 27 (93,5 %; 5,3%)","Ad 1) 29     Ad 2) 464 (5,7 %; 91,3 %)",Ad 1) ANO Ad 2) ANO (199),
104.0,"Sudice                 (Blansko, JHM)",1. Souhlasíte s výstavbou fotovoltaické elektrárny na pozemcích parcelní čísla 464/15 a 5456/2 v katastrálním území Sudice u Boskovic?,28. - 29. 5. 2010,355,0.707,ANO,"78       (31,1 %)","158     (62,9 %)",ANO         (89),
105.0,"Líbeznice                (Praha-východ, STČ)","1. Souhlasíte s plánovanou výstavbou veřejného mezinárodního letiště ve Vodochodech?                                                                       2. Má obec Líbeznice využít všech dostupných právních prostředků, aby zabránila realizaci veřejného letiště ve Vodochodech?",28. - 29. 5. 2010,1418,0.547,ANO,"Ad 1) 95          Ad 2) 643 (12,32 %; 83 %)","Ad 1) 629    Ad 2) 90 (81,2 %; 11,1 %)",Ad 1) ANO Ad 2) ANO (356),
106.0,"Šebrov-Kateřina (Blansko, JHM)","Souhlasíte s tím, aby zastupitelstvo obce schválilo změnu územního plánu, která umožní výstavbu fotovoltaické elektrárny v katastrálním území Šebrov na ""Dílech""?                                                                                    Z důvodu zastavení pořizování změn ÚP referendum zrušeno.",28. - 29. 5. 2010,neoznámeno,,,,,,
107.0,"Žádovice              (Hodonín, JHM)",1. Souhlasíte s výstavbou zařízení na výrobu elektrické energie z odpadní dřevní biomasy v průmyslové zóně Kelčany?,2010-06-19 00:00:00,636,0.4937,ANO,"35       (11,1 %)","273     (86,9 %)",ANO       (159),
108.0,"Ústup                 (Blansko, JHM)","1. Souhlasíte s výstavbou fotovoltaické elektrárny či fotovoltaických elektráren v katastrátním území obce Ústup, zejména na pozemcích p. č. 398/2, 400, 401, 405/2 a 403 v k. ú. Ústup?",2010-06-27 00:00:00,33,0.939,ANO,"21       (67,7 %)","10       (32,3 %)",ANO            (9),
109.0,"Klecany                  (Praha-východ, STČ)","1. Souhlasíte s rozšířením letiště Vodochody na veřejné mezinárodní letiště?                                                                              2. Souhlasíte s tím, aby Město Klecany činilo všechny dostupné právní kroky, které zabrání záměru rozšíření letiště Vodochody na veřejné mezinárodní letiště?                                                                3. Souhlasíte se záměrem ""Řešení energetického využití organických odpadů a kalů z Prahy"" lokalita Drasty v rámci stavby č. 6963 ""Celková přestavba a rozšíření ÚČOV v Praze na Císařském ostrově""?                                                                             4. Souhlasíte s tím, aby město Klecany činilo všechny dostupné právní kroky, které zabrání záměru ""Řešení energetického využití organických odpadů a kalů z Prahy"" lokalita Drasty v rámci stavby č. 6963 ""Celková přestavba a rozšíření ÚČOV v Praze na Císařském ostrově""?",2010-09-07 00:00:00,2014,0.388,ANO,"Ad 1) 163     Ad 2) 607     Ad 3)17        Ad 4) 755 (20,8 %; 77,7 %;   2,2 %;  96,7 %)","Ad 1) 613    Ad 2) 168    Ad 3) 761    Ad 4) 25 (78,5 %; 21,5 %;   97,4 %;   3,2 %)",Ad 1) ANO Ad 2) ANO Ad 3) ANO Ad 4) ANO (504),
110.0,"Brno                           (Brno-město, JHM)","1. Souhlasíte s osamostatněním , tedy oddělením katastrálních území Dolní Heršpice a Přízřenice od statutárního města Brna a se vznikem samostatné obce Dolní Heršpice - Přízřenice?",2010-09-12 00:00:00,888,0.686,ANO,"353     (58,5 %)","249     (40,9 %)",Nepřijato3               (445),
111.0,"Bačalky                  (Jičín, HKK)","1. Chcete, aby na území obce Bačalky a části obce Lično a v přilehlém okolí stála elektrárna dle záměru ""Větrné elektrárny Bačalky"" z července 2009?",15. - 16. 10. 2010,137,0.686,ANO,"36       (38,3 %)","56       (59,6 %)",ANO         (35),
112.0,"Milovice          (Nymburk, STČ)","1. Souhlasíte s tím, aby zastupitelstvo města Milovice zachovalo současně platný územní plán v části města, a to v areálu Letiště Boží Dar, umožňující stavby pro bydlení, podnikání, sportovní a další aktivity?",15. - 16. 10. 2010,6281,0.2242,NE,1 197     (85 %),"181     (12,9 %)",NE ,
113.0,"Losiná                     (Plzeň-město, PLK)","1. Souhlasím s tím, aby obec Losiná využila všech zákonných prostředků, aby zabránila záměru firmy Petr Březina-APB Plzeň výstavby ""Výroba betonových směsí APB Plzeň-Losiná""?",15. - 16. 10. 2010,875,0.526,ANO,"379     (82,4 %)","71       (15,4 %)",ANO       (219),
114.0,"Kobeřice                (Opava, MSK)","1. Souhlasíte s realizací stavby ""Obecní a komunitní centrum Kobeřice""?",15. - 16. 10. 2010,2639,0.448,ANO,"766     (64,6 %)",379        (32 %),ANO       (660),
115.0,"Lodín                     (Hradec Králové, HKK)","Souhlasíte s tím, aby byl schválen Návr na změnu uzemního plánu obce č. 3 pro rozšíření skládky odpadů spl. A.S.A Lodín a oddělení skládky od okolní krajiny?",2010-12-11 00:00:00,279,0.75,ANO,125        (60 %),"78       (37,3 %)",ANO         (70),
